Field=#~Integer~#~50|Field=Designator~String~Designator~212|Field=Comment~String~Comment~212|Field=Value~String~Value~159|Field=Footprint~String~Footprint~263|Field=Quantity~Integer~Quantity~46|Field=Supplier Part Number 1~String~Supplier Part Number 1~182|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~189|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~182|Field=Manufacturer 1~String~Manufacturer 1~99|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Ninja_3_2.PrjPcb|ReportField=ProjectFullPath~C:\Users\Zasmussen\Documents\Altium\ARPG\Ninja\Ninja_3_2\Ninja_3_2.PrjPcb|ReportField=Title~Bill of Materials For Project [Ninja_3_2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~219|ReportField=ReportTime~11:01:46 AM|ReportField=ReportDate~5/25/2016|ReportField=ReportDateTime~5/25/2016 11:01:46 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~5/25/2016|ReportField=CurrentTime~8:56:57 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Zasmussen\Documents\Altium\ARPG\Ninja\Ninja_3_2\Ninja_3_2_Sheet.SchDoc|ReportField=DocumentName~Ninja_3_2_Sheet.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~5/23/2016|ReportField=Organization~|ReportField=ProjectName~Ninja_3_2.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Ninja_3_2.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Zasmussen\Documents\Altium\ARPG\Ninja\Ninja_3_2\Ninja_3_2.PrjPcb
43|R5, R6, R7, R61|4.7K|4.7K|1608[0603]|4|P4.7KGCT-ND|0.10|0.4|Panasonic Electronic Components|ERJ-3GEYJ472V
44|R8, R63, R84, R85|1K|1K|1608[0603]|4|P1.0KGCT-ND|0.10|0.4|Panasonic Electronic Components|ERJ-3GEYJ102V
45|R11, R13, R15, R18, R23, R30|180|180|1608[0603]|6|RMCF0603JT180RCT-ND|0.10|0.6|Stackpole Electronics Inc.|RMCF0603JT180R
46|R12, R14, R16, R19, R24, R28, R29, R31, R41, R42, R43, R68|330|330|1608[0603]|12|311-330GRCT-ND|0.011|0.132|Yageo|RC0603JR-07330RL
47|R20, R22, R33, R35|470|470|1608[0603]|4|311-470GRCT-ND|0.10|0.4|Yageo|RC0603JR-07470RL
48|R25, R26, R27, R44, R45, R46, R48, R50, R58, R59, R60, R62|10K|10K|1608[0603]|12|P10KGCT-ND|0.10|1.2|Panasonic Electronic Components|ERJ-3GEYJ103V
49|R32, R34, R36, R57|2.2K|2.2K|1608[0603]|4|RMCF0603JT2K20CT-ND|0.10|0.4|Stackpole Electronics Inc.|RMCF0603JT2K20
50|R37, R67|560|560|1608[0603]|2|311-560HRCT-ND|0.10|0.2|Yageo|RC0603FR-07560RL
51|R38|510K|510K|1608[0603]|1|P510KHCT-ND|0.10|0.1|Panasonic Electronic Components|ERJ-3EKF5103V
52|R39|90.9K|90.9K|1608[0603]|1|P90.9KHCT-ND|0.10|0.1|Panasonic Electronic Components|ERJ-3EKF9092V
53|R40|3.09K|3.09K|1608[0603]|1|P3.09KHCT-ND|0.10|0.1|Panasonic Electronic Components|ERJ-3EKF3091V
54|R47|330K|330K|1608[0603]|1|P330KGCT-ND|0.10|0.1|Panasonic Electronic Components|ERJ-3GEYJ334V
55|R49|15K|15K|1608[0603]|1|RMCF0603JT15K0CT-ND|0.10|0.1|Stackpole Electronics Inc.|RMCF0603JT15K0
56|R51|220K|220K|1608[0603]|1|P220KGCT-ND|0.10|0.1|Panasonic Electronic Components|ERJ-3GEYJ224V
57|R52|3.3K|3.3K|1608[0603]|1|RMCF0603JT3K30CT-ND|0.10|0.1|Stackpole Electronics Inc.|RMCF0603JT3K30
58|R53, R56|18K|18K|1608[0603]|2|RMCF0603JT18K0CT-ND|0.10|0.2|Stackpole Electronics Inc.|RMCF0603JT18K0
59|R54, R55|1M|1M|1608[0603]|2|P1.00MHCT-ND|0.10|0.2|Panasonic Electronic Components|ERJ-3EKF1004V
60|R64|12K|12K|1608[0603]|1|311-12KGRCT-ND|0.10|0.1|Yageo|RC0603JR-0712KL
61|R65, R66|DNI|DNI|1608[0603]|2|||||
62|R71, R72, R75, R77, R80, R81|4.7|4.7|1608[0603]|6|311-4.7GRCT-ND|0.10|0.6|Yageo|RC0603JR-074R7L
63|R73, R74, R76, R78, R82, R83|39K|39K|1608[0603]|6|311-39.0KHRDKR-ND|0.10|0.6|Yageo|RC0603FR-0739KL
64|R79|0.001|0.001|1608[0603]|1|WSLPD-.001CT-ND|3.00|3|Vishay Dale|WSLP59311L000FEB
